employee_id,employee_department,employee_position
1520,Human Resources,HR Manager
1521,Information Technology,Information Security Specialist
1522,R&D Department,Systems Engineer
1523,Finance,Accountant
1524,Marketing and Business Development,Bid Coordinator
1525,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
1526,R&D Department,Secretary
1527,Operations and Manufacturing,Logistics Manager
1528,Project Management,Project Coordinator
1529,R&D Department,Secretary
1530,R&D Department,Systems Engineer
1531,Operations and Manufacturing,Manufacturing Engineer
1532,R&D Department,Development Engineer (Hardware / Software / Mechanical)
1533,Engineering Department,Secretary
1534,Operations and Manufacturing,Procurement Officer
1535,Information Technology,Data Scientist
1536,Human Resources,Recruitment Coordinator
1537,Marketing and Business Development,Secretary
1538,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
1539,Engineering Department,Process Engineer
1540,Finance,Financial Analyst
1541,Information Technology,Systems and Network Administrator
1542,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
1543,R&D Department,Integration and Testing Engineer
1544,R&D Department,Development Engineer (Hardware / Software / Mechanical)
1545,Project Management,Project Manager
1546,Engineering Department,Process Engineer
1547,Engineering Department,Test Engineer
1548,Engineering Department,Process Engineer
1549,Operations and Manufacturing,Logistics Manager
1550,R&D Department,Systems Engineer
1551,Engineering Department,Process Engineer
1552,Marketing and Business Development,Business Development Manager
1553,R&D Department,Systems Engineer
1554,Project Management,Project Manager
1555,R&D Department,Head of R&D
1556,R&D Department,Development Engineer (Hardware / Software / Mechanical)
1557,Operations and Manufacturing,Operations Manager
1558,Finance,Secretary
1559,Information Technology,Data Scientist
1560,Information Technology,Systems and Network Administrator
1561,R&D Department,Systems Engineer
1562,Operations and Manufacturing,Manufacturing Engineer
1563,Finance,Budget Manager
1564,Engineering Department,Test Engineer
1565,R&D Department,Secretary
1566,Project Management,Project Manager
1567,Operations and Manufacturing,Secretary
1568,R&D Department,Integration and Testing Engineer
1569,Project Management,Project Manager
1570,Engineering Department,Process Engineer
1571,R&D Department,Systems Engineer
1572,R&D Department,Secretary
1573,Project Management,Secretary
1574,Executive Management,Chief Executive Officer (CEO)
1575,R&D Department,Development Engineer (Hardware / Software / Mechanical)
1576,Operations and Manufacturing,Operations Manager
1577,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
1578,Marketing and Business Development,Marketing Manager
1579,Operations and Manufacturing,Logistics Manager
1580,R&D Department,Integration and Testing Engineer
1581,R&D Department,Integration and Testing Engineer
1582,Finance,Accountant
1583,R&D Department,Secretary
1584,R&D Department,Algorithm Engineer
1585,Project Management,Project Engineer
1586,Project Management,Project Coordinator
1587,Operations and Manufacturing,Manufacturing Engineer
1588,Security and Information Security,Chief Information Security Officer (CISO)
1589,Project Management,Secretary
1590,Operations and Manufacturing,Secretary
1591,Marketing and Business Development,Account Manager
1592,Information Technology,Data Scientist
1593,R&D Department,Algorithm Engineer
1594,R&D Department,Systems Engineer
1595,R&D Department,Secretary
1596,R&D Department,Secretary
1597,Finance,Budget Manager
1598,Information Technology,Data Scientist
1599,Human Resources,Employee Welfare Coordinator
1600,R&D Department,Integration and Testing Engineer
1601,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
1602,Operations and Manufacturing,Manufacturing Engineer
1603,Operations and Manufacturing,Secretary
1604,Engineering Department,Head of Engineering
1605,Information Technology,Secretary
1606,R&D Department,Integration and Testing Engineer
1607,R&D Department,Integration and Testing Engineer
1608,Project Management,Project Coordinator
1609,Engineering Department,Systems Engineer
1610,Marketing and Business Development,Bid Coordinator
1611,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
1612,R&D Department,Head of R&D
1613,Information Technology,Systems and Network Administrator
1614,Information Technology,Systems and Network Administrator
1615,R&D Department,Secretary
1616,Operations and Manufacturing,Warehouse Manager
1617,Operations and Manufacturing,Procurement Officer
1618,R&D Department,Head of R&D
1619,Operations and Manufacturing,Operations Manager
1620,Engineering Department,Head of Engineering
1621,Information Technology,Data Scientist
1622,Human Resources,Secretary
1623,Information Technology,BI Developer / Data Analyst
1624,Finance,Budget Manager
1625,Engineering Department,Process Engineer
1626,R&D Department,Development Engineer (Hardware / Software / Mechanical)
1627,Operations and Manufacturing,Procurement Officer
1628,Human Resources,Training Coordinator
1629,Operations and Manufacturing,Logistics Manager
1630,Information Technology,IT Director
1631,Marketing and Business Development,Marketing Manager
1632,Engineering Department,Design Engineer
1633,Marketing and Business Development,Secretary
1634,R&D Department,Secretary
1635,Project Management,Project Manager
1636,Project Management,Secretary
1637,R&D Department,Integration and Testing Engineer
1638,R&D Department,Development Engineer (Hardware / Software / Mechanical)
1639,Information Technology,Systems and Network Administrator
1640,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
1641,Information Technology,IT Director
1642,Finance,Finance Manager
1643,Project Management,Project Engineer
1644,Marketing and Business Development,Secretary
1645,Engineering Department,Process Engineer
1646,Operations and Manufacturing,Operations Manager
1647,Operations and Manufacturing,Procurement Officer
1648,R&D Department,Systems Engineer
1649,Legal and Regulation,Regulatory Affairs Officer
1650,Operations and Manufacturing,Manufacturing Engineer
1651,Engineering Department,Design Engineer
1652,Engineering Department,Secretary
1653,Marketing and Business Development,Account Manager
1654,R&D Department,Development Engineer (Hardware / Software / Mechanical)
1655,Security and Information Security,Cyber Analyst
1656,Engineering Department,Head of Engineering
1657,Project Management,Project Manager
1658,Information Technology,Secretary
1659,R&D Department,Secretary
1660,Information Technology,IT Director
1661,Engineering Department,Design Engineer
1662,Information Technology,Information Security Specialist
1663,Security and Information Security,Chief Information Security Officer (CISO)
1664,Engineering Department,Head of Engineering
1665,Marketing and Business Development,Secretary
1666,Operations and Manufacturing,Procurement Officer
